Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Generasi,Waktu Sesi,Skor Minat Digital,Status Aktif,Domain Email
Medan,14:54,Tgk. Kenes Thamrin,oni73@example.org,0823-9653-1697,2006,Realme,Sedang,Urban,20,Gen Z,Siang,50,Kurang Aktif,example.org
Palembang,12:17,Puti Salahudin,legawasuwarno@example.net,0816-2218-5593,2000,OPPO,Sangat Tinggi,Suburban,26,Gen Z,Siang,95,Aktif,example.net
Jakarta Selatan,13:59,Muhammad Lestari,yosef58@example.net,0851-1256-4394,1981,Apple,Tinggi,Urban,45,Millennial,Siang,75,Aktif,example.net
Makassar,15:19,Irma Maheswara,wwidodo@example.org,0831-4939-7375,1974,OPPO,Tinggi,Urban,52,Gen X,Siang,75,Kurang Aktif,example.org
Makassar,09:50,Azalea Suwarno,situmorangtasdik@example.net,0899-2284-9204,1978,Xiaomi,Tinggi,Urban,48,Gen X,Pagi,75,Kurang Aktif,example.net
Jakarta Pusat,21:14,Ulva Kuswandari,hadinasyiah@example.com,0820-6580-7499,1997,Xiaomi,Sangat Tinggi,Urban,29,Gen Z,Malam,95,Aktif,example.com
Yogyakarta,08:31,H. Empluk Mandala,susantilidya@example.org,0840-6829-7150,1998,Vivo,Sedang,Tourism,28,Gen Z,Pagi,50,Kurang Aktif,example.org
Makassar,08:49,Asirwanda Winarsih,sarahpradipta@example.org,0890-5839-5037,1975,Samsung,Tinggi,Urban,51,Gen X,Pagi,75,Kurang Aktif,example.org
Bandung,17:45,Hendri Sitompul,rjanuar@example.org,0892-3527-7383,1994,Samsung,Sedang,Urban,32,Millennial,Sore,50,Kurang Aktif,example.org
Jakarta Selatan,16:28,Yoga Pudjiastuti,rahmatyolanda@example.com,0857-5419-2674,1989,Samsung,Rendah,Urban,37,Millennial,Sore,25,Kurang Aktif,example.com
Semarang,15:35,Sadina Pangestu,maras40@example.org,0876-7685-2692,2005,Xiaomi,Rendah,Urban,21,Gen Z,Siang,25,Kurang Aktif,example.org
Jakarta Pusat,15:55,"Kemal Pradipta, M.Pd",natsirrafid@example.org,0860-1202-5781,1990,Apple,Sedang,Urban,36,Millennial,Siang,50,Kurang Aktif,example.org
Denpasar,12:36,Raihan Widodo,vnashiruddin@example.com,0877-3778-7237,1985,Xiaomi,Sedang,Tourism,41,Millennial,Siang,50,Aktif,example.com
Yogyakarta,09:09,Adika Salahudin,sitoruskairav@example.com,0819-3739-8121,2001,Xiaomi,Sedang,Tourism,25,Gen Z,Pagi,50,Kurang Aktif,example.com
Jakarta Pusat,13:16,"Kenari Novitasari, M.Kom.",clarahastuti@example.com,0842-9123-4203,1993,Samsung,Sedang,Urban,33,Millennial,Siang,50,Aktif,example.com
Jakarta Selatan,10:21,Rusman Kusumo,gamani74@example.net,0890-7224-6399,1995,Xiaomi,Sedang,Urban,31,Millennial,Pagi,50,Kurang Aktif,example.net
Palembang,16:19,Aditya Sirait,jasmin32@example.net,0852-4290-8848,1978,Infinix,Sedang,Suburban,48,Gen X,Sore,50,Kurang Aktif,example.net
Medan,12:47,"Hj. Latika Aryani, M.TI.",cawuk61@example.org,0899-9044-4971,1988,Xiaomi,Sedang,Urban,38,Millennial,Siang,50,Aktif,example.org
Makassar,09:07,Jati Sinaga,adinatarajata@example.com,0883-4273-9939,1993,Apple,Sedang,Urban,33,Millennial,Pagi,50,Kurang Aktif,example.com
Jakarta Selatan,11:45,Ivan Santoso,lukita99@example.org,0837-8183-5773,1999,Samsung,Tinggi,Urban,27,Gen Z,Siang,75,Aktif,example.org
Makassar,14:08,Safina Tarihoran,bancarwidiastuti@example.org,0892-5961-4965,2001,Samsung,Sedang,Urban,25,Gen Z,Siang,50,Kurang Aktif,example.org
Makassar,10:04,Ina Manullang,tmardhiyah@example.com,0868-8851-7566,1994,Infinix,Tinggi,Urban,32,Millennial,Pagi,75,Kurang Aktif,example.com
Makassar,09:02,"Devi Uyainah, S.Pd",paris33@example.org,0857-9796-2392,2004,Xiaomi,Rendah,Urban,22,Gen Z,Pagi,25,Kurang Aktif,example.org
Medan,13:41,Eva Hasanah,radika87@example.net,0889-1725-7547,1980,Xiaomi,Sangat Tinggi,Urban,46,Gen X,Siang,95,Aktif,example.net
Makassar,13:00,"Ir. Rudi Pratama, S.H.",novitasaritugiman@example.net,0823-5239-4637,1976,OPPO,Tinggi,Urban,50,Gen X,Siang,75,Aktif,example.net
Palembang,10:14,"Karen Hutagalung, M.Farm",halimhana@example.net,0868-7129-7408,2006,Vivo,Sedang,Suburban,20,Gen Z,Pagi,50,Kurang Aktif,example.net
Denpasar,11:22,Kemal Nasyiah,gambirasimbolon@example.net,0814-8909-2712,1979,Infinix,Sedang,Tourism,47,Gen X,Siang,50,Aktif,example.net
Jakarta Pusat,13:53,Calista Zulaika,latikalestari@example.org,0829-6707-6110,1977,Apple,Sedang,Urban,49,Gen X,Siang,50,Aktif,example.org
Denpasar,07:22,drg. Rusman Hakim,gmustofa@example.com,0871-2599-8178,2000,OPPO,Tinggi,Tourism,26,Gen Z,Pagi,75,Kurang Aktif,example.com
Jakarta Pusat,07:02,Padmi Hakim,zwulandari@example.com,0825-1370-6620,1989,Vivo,Tinggi,Urban,37,Millennial,Pagi,75,Kurang Aktif,example.com
Bandung,10:33,"Ayu Widodo, S.T.",pratamakiandra@example.org,0833-3623-6422,1985,Infinix,Tinggi,Urban,41,Millennial,Pagi,75,Kurang Aktif,example.org
Surabaya,12:40,Indra Situmorang,namagabanawa@example.org,0834-4053-8080,1995,Apple,Sedang,Urban,31,Millennial,Siang,50,Aktif,example.org
Surabaya,14:37,Ami Suwarno,xnajmudin@example.org,0865-7370-1072,1998,Samsung,Tinggi,Urban,28,Gen Z,Siang,75,Kurang Aktif,example.org
Jakarta Pusat,18:06,"Ir. Omar Yuliarti, S.Farm",prakosa76@example.com,0879-4063-6993,2006,OPPO,Sedang,Urban,20,Gen Z,Sore,50,Kurang Aktif,example.com
Yogyakarta,16:33,Mahmud Wijayanti,silviatampubolon@example.org,0892-6134-7367,2001,Vivo,Tinggi,Tourism,25,Gen Z,Sore,75,Kurang Aktif,example.org
Medan,12:54,Kawaya Wijaya,ivanadriansyah@example.org,0869-3826-5873,1992,Vivo,Sangat Tinggi,Urban,34,Millennial,Siang,95,Aktif,example.org
Bandung,12:07,Malika Wulandari,ynasyidah@example.org,0841-6003-2916,1990,Vivo,Sedang,Urban,36,Millennial,Siang,50,Aktif,example.org
Denpasar,08:26,Jagaraga Situmorang,kusumanainggolan@example.net,0887-3258-7286,1994,OPPO,Sedang,Tourism,32,Millennial,Pagi,50,Kurang Aktif,example.net
Denpasar,12:35,"R. Anggabaya Wijayanti, S.Farm",permadihendri@example.org,0832-9022-5732,1981,Xiaomi,Rendah,Tourism,45,Millennial,Siang,25,Aktif,example.org
Semarang,11:55,Legawa Firmansyah,rrahimah@example.net,0856-1157-8939,1973,Apple,Rendah,Urban,53,Gen X,Siang,25,Aktif,example.net
Denpasar,14:41,"Cut Hesti Gunawan, S.Sos",ipradipta@example.org,0874-7703-9056,2002,Realme,Sedang,Tourism,24,Gen Z,Siang,50,Kurang Aktif,example.org
Semarang,09:05,"KH. Asman Mandala, M.TI.",jarwa95@example.net,0883-1505-4613,1980,Xiaomi,Sedang,Urban,46,Gen X,Pagi,50,Kurang Aktif,example.net
Denpasar,15:10,Hj. Yuliana Sinaga,lukitamegantara@example.net,0869-9115-9369,1988,Samsung,Rendah,Tourism,38,Millennial,Siang,25,Kurang Aktif,example.net
Denpasar,19:34,Sutan Hendri Salahudin,banawi89@example.net,0816-8231-9951,1993,Xiaomi,Sedang,Tourism,33,Millennial,Sore,50,Aktif,example.net
Surabaya,12:55,Luis Wastuti,fpuspita@example.org,0815-8368-5305,1989,Apple,Sedang,Urban,37,Millennial,Siang,50,Aktif,example.org
Semarang,14:49,Syahrini Winarsih,unovitasari@example.net,0841-4438-6744,1977,Vivo,Sangat Tinggi,Urban,49,Gen X,Siang,95,Kurang Aktif,example.net
Makassar,15:39,Laila Maryadi,parman28@example.com,0828-4385-4390,1980,OPPO,Tinggi,Urban,46,Gen X,Siang,75,Kurang Aktif,example.com
Denpasar,11:38,Samsul Prasetyo,edward70@example.net,0879-3758-6302,1987,Xiaomi,Sangat Tinggi,Tourism,39,Millennial,Siang,95,Aktif,example.net
Palembang,13:54,Lidya Puspita,prayogaprasasta@example.com,0876-2560-3221,1987,Apple,Sangat Tinggi,Suburban,39,Millennial,Siang,95,Aktif,example.com
Jakarta Selatan,13:55,Gamblang Yuliarti,hartatiopung@example.org,0894-3078-3174,1987,Apple,Sedang,Urban,39,Millennial,Siang,50,Aktif,example.org
Surabaya,13:31,H. Radit Nainggolan,santosoperkasa@example.net,0829-5402-7786,1995,Samsung,Sedang,Urban,31,Millennial,Siang,50,Aktif,example.net
Jakarta Pusat,09:32,Ir. Azalea Hidayanto,liliwinarsih@example.net,0846-7046-8449,1995,Xiaomi,Sangat Tinggi,Urban,31,Millennial,Pagi,95,Kurang Aktif,example.net
Jakarta Selatan,13:46,Jatmiko Pranowo,luluh03@example.org,0869-6869-2037,1975,Xiaomi,Tinggi,Urban,51,Gen X,Siang,75,Aktif,example.org
Makassar,14:31,"Devi Kuswandari, S.H.",putupermadi@example.net,0845-6289-5646,1983,OPPO,Sedang,Urban,43,Millennial,Siang,50,Kurang Aktif,example.net
Palembang,18:50,Vicky Suryono,ihastuti@example.net,0854-1793-1752,2001,Apple,Rendah,Suburban,25,Gen Z,Sore,25,Kurang Aktif,example.net
Semarang,16:07,Ina Rajata,dewi77@example.org,0831-8230-8479,1971,Infinix,Rendah,Urban,55,Gen X,Sore,25,Kurang Aktif,example.org
Surabaya,21:56,"H. Jarwadi Simanjuntak, S.Kom",luis60@example.net,0894-5945-3604,1978,Realme,Sangat Tinggi,Urban,48,Gen X,Malam,95,Aktif,example.net
Jakarta Pusat,09:16,"R.A. Ulya Maulana, S.Ked",intan99@example.net,0821-7092-3711,1993,Vivo,Rendah,Urban,33,Millennial,Pagi,25,Kurang Aktif,example.net
Surabaya,16:41,Ida Mangunsong,maryantopradana@example.com,0822-2559-1017,1997,Samsung,Sedang,Urban,29,Gen Z,Sore,50,Kurang Aktif,example.com
Palembang,13:33,R.A. Najwa Pudjiastuti,kamidin77@example.com,0898-8291-1152,1984,Xiaomi,Rendah,Suburban,42,Millennial,Siang,25,Aktif,example.com
Jakarta Pusat,21:44,Oskar Thamrin,estionopalastri@example.com,0827-8826-2160,1997,Samsung,Sedang,Urban,29,Gen Z,Malam,50,Aktif,example.com
Jakarta Pusat,09:20,Vero Namaga,novitasaribagas@example.org,0858-5902-3246,1976,Apple,Sedang,Urban,50,Gen X,Pagi,50,Kurang Aktif,example.org
Bandung,09:04,"Hj. Alika Ardianto, S.Farm",rikapradipta@example.org,0878-1138-3688,1979,Apple,Sedang,Urban,47,Gen X,Pagi,50,Kurang Aktif,example.org
Bandung,10:39,"Eka Anggriawan, S.Kom",dwahyudin@example.net,0898-8248-4559,1996,Samsung,Rendah,Urban,30,Millennial,Pagi,25,Kurang Aktif,example.net
Jakarta Pusat,04:22,"Mulyanto Susanti, M.Kom.",abudiyanto@example.net,0865-6152-3290,1994,Vivo,Sedang,Urban,32,Millennial,Malam,50,Kurang Aktif,example.net
Surabaya,10:38,dr. Adinata Budiyanto,gabriella40@example.net,0887-5668-1439,2005,Vivo,Tinggi,Urban,21,Gen Z,Pagi,75,Kurang Aktif,example.net
Yogyakarta,09:33,"Hj. Mala Nugroho, S.IP",novitasariemin@example.org,0888-9348-4090,1983,Xiaomi,Tinggi,Tourism,43,Millennial,Pagi,75,Kurang Aktif,example.org
Jakarta Selatan,13:31,Lukman Novitasari,nugraha46@example.org,0860-2847-4949,1985,Vivo,Sedang,Urban,41,Millennial,Siang,50,Aktif,example.org
Denpasar,14:23,Latika Haryanti,zamiraprasetyo@example.com,0851-3162-7337,1970,OPPO,Sangat Tinggi,Tourism,56,Gen X,Siang,95,Kurang Aktif,example.com
Medan,20:43,"Raden Hutapea, S.Gz",waskitaprabu@example.com,0833-8717-2195,2004,Samsung,Rendah,Urban,22,Gen Z,Malam,25,Aktif,example.com
Yogyakarta,16:02,drg. Asman Uyainah,narpaticatur@example.com,0818-7520-9300,1983,Apple,Sedang,Tourism,43,Millennial,Sore,50,Kurang Aktif,example.com
Makassar,10:44,"drg. Septi Sitompul, M.Farm",nurainibakiadi@example.org,0862-2350-9791,1997,Samsung,Tinggi,Urban,29,Gen Z,Pagi,75,Kurang Aktif,example.org
Jakarta Pusat,09:05,Umay Purnawati,csaputra@example.org,0876-4329-3545,1989,Xiaomi,Tinggi,Urban,37,Millennial,Pagi,75,Kurang Aktif,example.org
Jakarta Pusat,14:44,"Wahyu Setiawan, M.Pd",nugroholasmono@example.org,0866-4909-1948,1989,Infinix,Sedang,Urban,37,Millennial,Siang,50,Kurang Aktif,example.org
Jakarta Pusat,07:39,Langgeng Megantara,thutagalung@example.org,0888-1901-6067,1999,Vivo,Tinggi,Urban,27,Gen Z,Pagi,75,Kurang Aktif,example.org
Bandung,20:00,R.A. Qori Wibisono,pranawa21@example.net,0828-1185-3684,1977,Xiaomi,Sedang,Urban,49,Gen X,Malam,50,Aktif,example.net
Denpasar,17:10,"Jelita Habibi, S.IP",epradipta@example.com,0858-3079-5403,1986,Samsung,Tinggi,Tourism,40,Millennial,Sore,75,Kurang Aktif,example.com
Jakarta Selatan,11:51,Ir. Rina Widodo,asmuni47@example.com,0865-5456-9582,1991,Apple,Rendah,Urban,35,Millennial,Siang,25,Aktif,example.com
Palembang,06:31,Garda Puspasari,lastuti@example.net,0869-9368-6900,1974,Realme,Rendah,Suburban,52,Gen X,Pagi,25,Kurang Aktif,example.net
Bandung,18:10,Hj. Kezia Hutasoit,jumadi11@example.com,0843-2685-2889,1993,OPPO,Sedang,Urban,33,Millennial,Sore,50,Kurang Aktif,example.com
Jakarta Selatan,12:15,Harjasa Usada,prayogosimanjuntak@example.com,0816-8729-6963,1970,Samsung,Sedang,Urban,56,Gen X,Siang,50,Aktif,example.com
Jakarta Selatan,17:51,Bakijan Ardianto,tirtayasa54@example.org,0894-7870-4678,2005,Xiaomi,Sedang,Urban,21,Gen Z,Sore,50,Kurang Aktif,example.org
Medan,06:52,Bakianto Nashiruddin,jhassanah@example.net,0820-7108-2956,1987,Realme,Tinggi,Urban,39,Millennial,Pagi,75,Kurang Aktif,example.net
Bandung,10:51,dr. Baktiono Dongoran,thamrinirma@example.org,0877-1752-7568,1984,OPPO,Rendah,Urban,42,Millennial,Pagi,25,Kurang Aktif,example.org
Yogyakarta,13:20,Ir. Violet Simbolon,sbudiman@example.com,0822-8483-1130,1989,Xiaomi,Sedang,Tourism,37,Millennial,Siang,50,Aktif,example.com
Yogyakarta,13:29,Victoria Hutasoit,kaninurdiyanti@example.org,0858-9083-4201,1985,OPPO,Tinggi,Tourism,41,Millennial,Siang,75,Aktif,example.org
Surabaya,11:00,"Harjasa Narpati, S.E.I",luhung47@example.org,0863-1391-4817,1979,Vivo,Tinggi,Urban,47,Gen X,Siang,75,Aktif,example.org
Jakarta Selatan,15:00,Caturangga Fujiati,saiful47@example.org,0895-7164-6038,1991,OPPO,Rendah,Urban,35,Millennial,Siang,25,Kurang Aktif,example.org
Surabaya,08:31,Hafshah Prayoga,nriyanti@example.org,0818-3332-5584,1996,Infinix,Rendah,Urban,30,Millennial,Pagi,25,Kurang Aktif,example.org
Denpasar,12:44,Cici Mansur,adinata65@example.net,0858-8511-2391,1996,OPPO,Tinggi,Tourism,30,Millennial,Siang,75,Aktif,example.net
Makassar,13:37,Wani Sitompul,bsitorus@example.net,0883-2020-8126,1974,Samsung,Tinggi,Urban,52,Gen X,Siang,75,Aktif,example.net
Yogyakarta,15:54,R. Ifa Sinaga,yusufsihotang@example.org,0851-7438-6345,1986,Xiaomi,Sedang,Tourism,40,Millennial,Siang,50,Kurang Aktif,example.org
Jakarta Pusat,15:08,Jamalia Siregar,ypermata@example.org,0885-2785-3546,1982,OPPO,Rendah,Urban,44,Millennial,Siang,25,Kurang Aktif,example.org
Medan,08:07,Keisha Setiawan,hutama@example.net,0879-6870-4401,1996,OPPO,Sedang,Urban,30,Millennial,Pagi,50,Kurang Aktif,example.net
Jakarta Pusat,06:10,Lega Palastri,wirdapudjiastuti@example.org,0898-5984-1660,1975,Realme,Sedang,Urban,51,Gen X,Pagi,50,Kurang Aktif,example.org
Bandung,18:45,"Malika Pranowo, M.M.",zaenab16@example.net,0842-6828-7492,1975,Vivo,Tinggi,Urban,51,Gen X,Sore,75,Kurang Aktif,example.net
Yogyakarta,14:01,Dina Usada,jayadi42@example.net,0862-8408-5093,1981,Samsung,Rendah,Tourism,45,Millennial,Siang,25,Kurang Aktif,example.net
Bandung,10:00,Widya Waluyo,hassanahmalika@example.com,0818-4641-3141,1977,Xiaomi,Sedang,Urban,49,Gen X,Pagi,50,Kurang Aktif,example.com
Jakarta Pusat,19:58,drg. Patricia Mayasari,cpalastri@example.com,0820-1357-2056,1986,Vivo,Sedang,Urban,40,Millennial,Sore,50,Aktif,example.com
Bandung,13:57,"Yessi Nasyiah, M.Ak",kurniawanjamal@example.net,0853-3007-1699,1975,Samsung,Sangat Tinggi,Urban,51,Gen X,Siang,95,Aktif,example.net
Palembang,17:52,"Garang Marbun, M.Ak",pratiwisadina@example.net,0861-9128-1483,1997,Xiaomi,Sedang,Suburban,29,Gen Z,Sore,50,Kurang Aktif,example.net
Medan,13:58,"Heru Sitompul, S.Farm",anggriawandaliman@example.com,0834-5505-5585,1983,Samsung,Sedang,Urban,43,Millennial,Siang,50,Aktif,example.com
Palembang,21:41,Kajen Maryati,triwahyudin@example.com,0848-9173-7750,1985,OPPO,Sangat Tinggi,Suburban,41,Millennial,Malam,95,Aktif,example.com
Jakarta Pusat,20:24,Vera Wastuti,muhammaddongoran@example.com,0828-7868-4267,1987,Apple,Tinggi,Urban,39,Millennial,Malam,75,Aktif,example.com
Surabaya,12:50,Ega Agustina,latuponoedi@example.com,0813-7266-6883,2004,Apple,Sedang,Urban,22,Gen Z,Siang,50,Aktif,example.com
Medan,16:32,Jasmin Hasanah,evalaksmiwati@example.com,0852-7363-5430,2006,Xiaomi,Sedang,Urban,20,Gen Z,Sore,50,Kurang Aktif,example.com
Surabaya,15:57,Cinta Farida,esimanjuntak@example.com,0846-1959-8728,1971,Apple,Tinggi,Urban,55,Gen X,Siang,75,Kurang Aktif,example.com
Surabaya,18:06,Rusman Latupono,siregarsalimah@example.org,0842-4951-5366,1980,Apple,Tinggi,Urban,46,Gen X,Sore,75,Kurang Aktif,example.org
Jakarta Selatan,09:36,"Raharja Marbun, S.H.",indahmanullang@example.com,0860-6813-3846,1984,Vivo,Sedang,Urban,42,Millennial,Pagi,50,Kurang Aktif,example.com
Medan,15:45,dr. Yusuf Hariyah,rusmanusamah@example.org,0856-3328-4084,1971,Apple,Tinggi,Urban,55,Gen X,Siang,75,Kurang Aktif,example.org
Semarang,17:19,Manah Wahyuni,bwidodo@example.net,0833-9035-1621,2004,Samsung,Rendah,Urban,22,Gen Z,Sore,25,Kurang Aktif,example.net
Surabaya,05:33,R.A. Mila Rahayu,awibisono@example.net,0872-1011-6435,1971,Samsung,Sangat Tinggi,Urban,55,Gen X,Pagi,95,Kurang Aktif,example.net
Bandung,08:45,Danang Setiawan,permatadamu@example.net,0833-6301-1975,1991,Vivo,Rendah,Urban,35,Millennial,Pagi,25,Kurang Aktif,example.net
Bandung,04:54,Ghani Simbolon,vinsenlatupono@example.com,0878-6978-2188,1977,Infinix,Sedang,Urban,49,Gen X,Malam,50,Kurang Aktif,example.com
Makassar,11:21,"Setya Lestari, M.TI.",michelle69@example.com,0849-6285-3235,1976,Apple,Sangat Tinggi,Urban,50,Gen X,Siang,95,Aktif,example.com
Makassar,15:41,Puti Kamaria Thamrin,lsafitri@example.net,0851-3854-6846,2001,Vivo,Sedang,Urban,25,Gen Z,Siang,50,Kurang Aktif,example.net
Bandung,19:19,"Wirda Salahudin, M.Ak",wulandariembuh@example.com,0899-5825-3086,1994,Samsung,Sedang,Urban,32,Millennial,Sore,50,Aktif,example.com
Palembang,13:54,Digdaya Samosir,najmudinpangeran@example.net,0883-1530-3983,1995,Infinix,Tinggi,Suburban,31,Millennial,Siang,75,Aktif,example.net
Palembang,19:40,Kajen Wibisono,iriyanti@example.net,0883-2705-9129,1984,Apple,Rendah,Suburban,42,Millennial,Sore,25,Aktif,example.net
Surabaya,07:20,Lintang Nashiruddin,iusada@example.net,0832-2453-6500,1992,Xiaomi,Sedang,Urban,34,Millennial,Pagi,50,Kurang Aktif,example.net
Surabaya,06:22,"Wadi Natsir, M.Pd",anasuwarno@example.org,0843-2770-1020,1974,Xiaomi,Rendah,Urban,52,Gen X,Pagi,25,Kurang Aktif,example.org
Makassar,12:56,Galih Hartati,tambaajiman@example.com,0863-9078-7204,1980,Xiaomi,Sedang,Urban,46,Gen X,Siang,50,Aktif,example.com
Semarang,14:41,Dagel Winarno,rwasita@example.com,0898-4695-3664,2006,Apple,Sedang,Urban,20,Gen Z,Siang,50,Kurang Aktif,example.com
Jakarta Selatan,12:01,Titin Handayani,fmarbun@example.net,0851-5278-2715,1988,Samsung,Rendah,Urban,38,Millennial,Siang,25,Aktif,example.net
Makassar,04:46,Raden Prasetya,atmaja43@example.net,0820-9962-2525,1980,Huawei,Sedang,Urban,46,Gen X,Malam,50,Kurang Aktif,example.net
Semarang,12:27,Ella Haryanti,gpudjiastuti@example.org,0894-3703-8113,1971,Samsung,Sedang,Urban,55,Gen X,Siang,50,Aktif,example.org
Surabaya,07:26,Puti Hasna Palastri,halima07@example.net,0881-9849-5346,1982,Xiaomi,Tinggi,Urban,44,Millennial,Pagi,75,Kurang Aktif,example.net
Jakarta Pusat,15:25,Irwan Jailani,legawafirmansyah@example.com,0884-9043-3516,1973,Samsung,Rendah,Urban,53,Gen X,Siang,25,Kurang Aktif,example.com
Jakarta Pusat,14:52,Kamaria Irawan,xlazuardi@example.org,0895-8869-4271,1988,Samsung,Rendah,Urban,38,Millennial,Siang,25,Kurang Aktif,example.org
Yogyakarta,09:30,Rosman Rahmawati,oni62@example.net,0825-6052-7512,1975,Realme,Sedang,Tourism,51,Gen X,Pagi,50,Kurang Aktif,example.net
Yogyakarta,10:41,Purwanto Putra,banarapurnawati@example.com,0880-7349-4029,1975,Xiaomi,Sedang,Tourism,51,Gen X,Pagi,50,Kurang Aktif,example.com
Bandung,08:02,T. Lembah Nasyiah,marsudisiregar@example.com,0844-8204-8619,1998,Realme,Sedang,Urban,28,Gen Z,Pagi,50,Kurang Aktif,example.com
Palembang,12:09,Tgk. Zamira Mulyani,mansurridwan@example.org,0896-2584-2404,1973,Apple,Tinggi,Suburban,53,Gen X,Siang,75,Aktif,example.org
Makassar,16:35,Zelaya Yolanda,emanprayoga@example.org,0818-7342-9561,1984,OPPO,Sedang,Urban,42,Millennial,Sore,50,Kurang Aktif,example.org
Semarang,09:56,"Janet Prayoga, S.Sos",kmegantara@example.net,0841-8803-5896,2006,Realme,Rendah,Urban,20,Gen Z,Pagi,25,Kurang Aktif,example.net
Jakarta Selatan,15:36,Sari Agustina,ehartati@example.net,0877-3415-2970,2002,OPPO,Sangat Tinggi,Urban,24,Gen Z,Siang,95,Kurang Aktif,example.net
Bandung,10:51,"KH. Bakiman Waskita, M.TI.",zizi57@example.com,0835-3067-1699,1983,Huawei,Sedang,Urban,43,Millennial,Pagi,50,Kurang Aktif,example.com
Makassar,09:52,Ratna Adriansyah,haryantirahmi@example.net,0891-3422-5225,1982,Apple,Sedang,Urban,44,Millennial,Pagi,50,Kurang Aktif,example.net
Jakarta Pusat,12:24,"Kani Haryanto, M.Pd",bpratama@example.org,0882-7510-6343,1975,OPPO,Sangat Tinggi,Urban,51,Gen X,Siang,95,Aktif,example.org
Jakarta Selatan,08:50,Hasna Sinaga,mursita89@example.org,0864-2843-7790,2003,OPPO,Rendah,Urban,23,Gen Z,Pagi,25,Kurang Aktif,example.org
Palembang,10:59,Dr. Winda Siregar,gunawandalimin@example.net,0824-2654-5687,1976,Realme,Sangat Tinggi,Suburban,50,Gen X,Pagi,95,Kurang Aktif,example.net
Makassar,08:24,"drg. Agus Maheswara, S.E.",ahasanah@example.com,0894-8955-8750,1986,Xiaomi,Rendah,Urban,40,Millennial,Pagi,25,Kurang Aktif,example.com
Bandung,20:02,Malik Mustofa,galiono41@example.net,0861-6431-4892,1995,OPPO,Rendah,Urban,31,Millennial,Malam,25,Aktif,example.net
Yogyakarta,13:01,Hafshah Hutasoit,titi20@example.com,0854-5965-6094,1993,OPPO,Sedang,Tourism,33,Millennial,Siang,50,Aktif,example.com
Jakarta Pusat,10:08,"Gaduh Pradipta, S.Farm",kuswoyoade@example.org,0849-8259-6257,1984,Xiaomi,Sedang,Urban,42,Millennial,Pagi,50,Kurang Aktif,example.org
Jakarta Pusat,13:28,Citra Mustofa,dalimazulaika@example.com,0838-7671-8937,1982,Realme,Tinggi,Urban,44,Millennial,Siang,75,Aktif,example.com
Jakarta Selatan,12:50,Adika Siregar,anggrainizulfa@example.org,0831-2075-6097,2002,Xiaomi,Tinggi,Urban,24,Gen Z,Siang,75,Aktif,example.org
Denpasar,12:01,Belinda Pradana,uirawan@example.org,0833-4158-4288,2006,Xiaomi,Tinggi,Tourism,20,Gen Z,Siang,75,Aktif,example.org
Semarang,15:58,Galar Uwais,endra62@example.net,0857-4262-5488,1973,OPPO,Sedang,Urban,53,Gen X,Siang,50,Kurang Aktif,example.net
Makassar,16:43,"Cakrabirawa Hidayat, M.TI.",suryatmisalsabila@example.org,0814-4963-7102,1977,OPPO,Sedang,Urban,49,Gen X,Sore,50,Kurang Aktif,example.org
Semarang,10:22,Kamaria Prabowo,ridwansusanti@example.net,0855-3679-5237,2005,Vivo,Tinggi,Urban,21,Gen Z,Pagi,75,Kurang Aktif,example.net
Yogyakarta,10:24,Zelda Pratama,januarestiono@example.org,0817-3669-4511,1971,Vivo,Sangat Tinggi,Tourism,55,Gen X,Pagi,95,Kurang Aktif,example.org
Surabaya,11:41,drg. Kamaria Aryani,estiono34@example.net,0863-9409-1328,1987,Infinix,Sangat Tinggi,Urban,39,Millennial,Siang,95,Aktif,example.net
Jakarta Selatan,03:58,Drajat Puspasari,zahra04@example.org,0827-3837-1138,2000,Vivo,Sedang,Urban,26,Gen Z,Malam,50,Kurang Aktif,example.org
Yogyakarta,06:27,Drs. Kacung Nainggolan,psihombing@example.org,0859-6713-8520,1987,OPPO,Sedang,Tourism,39,Millennial,Pagi,50,Kurang Aktif,example.org
Denpasar,18:37,"KH. Xanana Permadi, M.Kom.",pkusumo@example.com,0824-1120-9380,1995,Infinix,Sangat Tinggi,Tourism,31,Millennial,Sore,95,Kurang Aktif,example.com
Medan,19:41,"Legawa Hidayanto, M.TI.",tarihoranmahesa@example.org,0887-5631-5890,2005,OPPO,Tinggi,Urban,21,Gen Z,Sore,75,Aktif,example.org
Medan,12:40,Zelda Purnawati,iutama@example.net,0852-5536-5278,1987,Infinix,Tinggi,Urban,39,Millennial,Siang,75,Aktif,example.net
Yogyakarta,15:09,Prabowo Halimah,budiyantolili@example.org,0877-4937-1930,1982,Apple,Tinggi,Tourism,44,Millennial,Siang,75,Kurang Aktif,example.org
Palembang,14:42,Eluh Pratama,halimraden@example.net,0851-3292-1417,1995,Huawei,Tinggi,Suburban,31,Millennial,Siang,75,Kurang Aktif,example.net
Yogyakarta,23:25,Sari Mardhiyah,sanggraini@example.com,0860-1578-4111,1996,Apple,Sedang,Tourism,30,Millennial,Malam,50,Kurang Aktif,example.com
